module,label,object_class,physical_type,semantic_name,instance,description,start_value,unit,lower_limit,upper_limit,limit_type,axes,source_table,source_page,parent_module
VehCoorn,VehCoorn_dstRateLimnMin_C,VALUE,,dstRateLimnMin,,minimum change rate for signal shaping of predicted range Start Value :,10.0,m,,,inherited_from_a2l_data_type,,Table 20150,155,
VehCoorn,VehCoorn_dstRngPredErr_C,VALUE,,dstRngPredErr,,remaining driving range (default value) is show if input signals are invalid for calibratable ti- me parameter must be greater than,,,,,inherited_from_a2l_data_type,,Table 20150,155,
VehCoorn,VehCoorn_dstRngPredIni_C,VALUE,,dstRngPredIni,,remaining driving range (initial value) is show if the vehicle is in standby or shutdown parameter must be greater than,,,,,inherited_from_a2l_data_type,,Table 20150,155,
VehCoorn,VehCoorn_dstRngPredMax_C,VALUE,,dstRngPredMax,,to avoid initialization with raw value in Ini_Proc Start Value :,2147483647.0,m,,,inherited_from_a2l_data_type,,Table 20150,155,
VehCoorn,VehCoorn_dstRngPredResv_C,VALUE,,dstRngPredResv,,distance reserve for remaining distance Start Value :,0.0,m,,,inherited_from_a2l_data_type,,Table 20150,155,
VehCoorn,VehCoorn_dstRngRmnDft_C,VALUE,,dstRngRmnDft,,remaining driving range after route destination (default value) is shown if the route informa- tion or remaining distance is invalid Start Value :,2147483647.0,m,,,inherited_from_a2l_data_type,,Table 20150,155,
VehCoorn,VehCoorn_facEgyEffMax_C,VALUE,fac,EgyEffMax,,maximum value for energy efﬁciency factor Standard Value :,1.0,−,,,inherited_from_a2l_data_type,,Table 20150,155,
VehCoorn,VehCoorn_facEgyEffMin_C,VALUE,fac,EgyEffMin,,minimum value for energy efﬁciency factor Start Value :,0.8,−,,,inherited_from_a2l_data_type,,Table 20150,155,
VehCoorn,VehCoorn_facEgyElecCnsAuxWght_T,CURVE,fac,EgyElecCnsAuxWght,,"Weighting factor of the transient energy consumption based on the total energy in system (high to medium energy level value near 1, low energy level value near 0). Tip The weighting allows to reduce the impact of the transient phase for low energy values. As for low energy it is possible that the transient phase will not be ﬁnished before the vehicle cannot drive anymore.",,,0.0,1.0,implicit_factor_ratio,,Table 20150,155,
VehCoorn,VehCoorn_facRateLimnMax_T,CURVE,fac,RateLimnMax,,factor for maximum rate limiter for signal shaping of remaining driving range based on total energy,,,0.0,1.0,implicit_factor_ratio,,Table 20150,155,
VehCoorn,VehCoorn_facRateLimnMin_T,CURVE,fac,RateLimnMin,,factor for minimum rate limiter for signal shaping of remaining driving range based on total energy,,,0.0,1.0,implicit_factor_ratio,,Table 20150,155,
VehCoorn,VehCoorn_facRngPredRawFiltg_T,CURVE,fac,RngPredRawFiltg,,"factor for signal shape ﬁlter boundary values: 0 = calculated predictive value is taken, 1= driven Distance is taken",,,0.0,1.0,implicit_factor_ratio,,Table 20150,155,
VehCoorn,VehCoorn_tiPrmsCalcnHld_C,VALUE,ti,PrmsCalcnHld,,time constant deﬁning how long the range predicition should be calculated on old average values before setting an error Start Value :,25.0,s,0.0,,implicit_non_negative,,Table 20150,155,
DsplCtl,DsplCtl_IntChrgrSts_T,CURVE,i,ntChrgrSts,,"−Classiﬁcation: START, Type: CURVE_INDIVIDUAL [−] X: DsplCtl_stChrgMod [−] [7] X 0 1 2 3 4",,,,,inherited_from_a2l_data_type,,Table 20028,16,Standard
DsplCtl,DsplCtl_facChrgTi_C,VALUE,fac,ChrgTi,,Calibration factor for correction of charging remainig time Start Value:,1.0,−,,,inherited_from_a2l_data_type,,Table 20028,16,Standard
DsplCtl,DsplCtl_nEmActOperThd_C,VALUE,n,EmActOperThd,,Threshold value of E−machine speed to identify it as operating Start Value:,2.0,1/min,,,inherited_from_a2l_data_type,,Table 20028,16,Standard
DsplCtl,DsplCtl_ratStrdEgyLvl_T,CURVE,rat,StrdEgyLvl,,"−Classiﬁcation: START, Type: CURVE_INDIVIDUAL [%] X: HvBatt_ratSoc [%] [6] X 0 20 40 60 80",,,0.0,1.0,implicit_factor_ratio,,Table 20028,16,Standard
DsplCtl,DsplCtl_stHybSysIniIndcr_T,CURVE,st,HybSysIniIndcr,,"−Classiﬁcation: START, Type: CURVE_INDIVIDUAL [−] X: DsplCtl_stVehCoorn [−] [6] X 0 1 2 VAL 0",,,,,inherited_from_a2l_data_type,,Table 20028,16,Standard
DsplCtl,DsplCtl_stHybSysOffBrdChrgrCnctn_T,CURVE,st,HybSysOffBrdChrgrCnctn,,Calibratable curve to calculate status of hybrid system off−board charger connection,,,,,inherited_from_a2l_data_type,,Table 20028,16,Standard
DsplCtl,DsplCtl_tMotGenr_T,CURVE,,tMotGenr,,Calibratable curve to calculate motor generator temperature,,,,,inherited_from_a2l_data_type,,Table 20028,16,Standard
DsplCtl,DsplCtl_tiHvBattActFil_C,VALUE,ti,HvBattActFil,,Filter time constant for HV battery actual power Start Value:,0.5,s,0.0,,implicit_non_negative,,Table 20028,16,Standard
DsplCtl,DsplCtl_tiRmnChrgMaxLim_C,VALUE,ti,RmnChrgMaxLim,,Maximum remaining charging time possible Start Value:,1440.0,min,0.0,,implicit_non_negative,,Table 20028,16,Standard
ElTS,ElTS_facPwrAcsyConv_C,VALUE,fac,PwrAcsyConv,,Efﬁciency factor for the all high voltage load power for accumulation of load consumption Start Value :,1.0,−,,,inherited_from_a2l_data_type,,Table 20088,57,Standard
ElTS,ElTS_facPwrEIMConv_C,VALUE,fac,PwrEIMConv,,Efﬁciency factor for the electric machine actual power for accumulation of motor consump- tion. Start Value :,1.0,−,,,inherited_from_a2l_data_type,,Table 20088,57,Standard
ElTS,ElTS_facPwrRcptConv_C,VALUE,fac,PwrRcptConv,,Factor for the conversion of regenerative power to respective energy. Start Value :,1.0,−,,,inherited_from_a2l_data_type,,Table 20088,57,Standard
ElTS,ElTS_maxDrvPowEm01_T,CURVE,,maxDrvPowEm01,,""", p.17500 below[ W ] X: Emac_nAct",1.0,1/min,,,inherited_from_a2l_data_type,,Table 20088,57,Standard
ElTS,ElTS_maxDrvPowEm02_T,CURVE,,maxDrvPowEm02,,""", p.17500 below[ W ] X: Emac_nAct",2.0,1/min,,,inherited_from_a2l_data_type,,Table 20088,57,Standard
ElTS,ElTS_swtEgyRst_C,VALUE,,swtEgyRst,,Switch to determine the reset behaviour of accumulated energies. Bit0 deactivation of accumulation/manual reset for testing Bit1 reset during T15 off (reset every drive cycle) Bit2 reset during charging (reset every charging cycle) Start Value :,0.0,−,,,inherited_from_a2l_data_type,,Table 20088,57,Standard
GlbDa,GlbDa_lDstLim_C,VALUE,,lDstLim,,"bigger than the last value stored in EEP, the current value of the whole distance is written into EEP. This measure serves the protection of the value of the whole distance: if saving the value fails at the end of the driving cycle, the",,,,,inherited_from_a2l_data_type,,Table 20060,38,Standard
GlbDa,GlbDa_lTotDstCmbChgECU_C,VALUE,,lTotDstCmbChgECU,,Default calibation in case AVS read is not succeded for Combation ECU change Info. : [ m ] IF ((i(GLBDA_LSUMMODE_SC) > 1) && (i(GLBDALSUMAVS_SY) > 0) && (i(ECU_GENR_SY) == 6)),,,1.0,,explicit_greater_than,,Table 20060,38,Standard
GlbDa,GlbDa_lTotDstElecEngChgECU_C,VALUE,,lTotDstElecEngChgECU,,Default calibation in case AVS read is not succeded for Elecrtic engine ECU change Info : [ m ],,,,,inherited_from_a2l_data_type,,Table 20060,38,Standard
GlbDa,GlbDa_lTotDstVehChgECU_C,VALUE,,lTotDstVehChgECU,,"Default calibation,in case AVS read is not succeded for ECU change Info. : [ m ] IF ((i(GLBDA_LSUMMODE_SC) > 0) && (i(GLBDALSUMAVS_SY) > 0) && (i(ECU_GENR_SY) == 6))",,,0.0,,explicit_greater_than,,Table 20060,38,Standard
