module,label_name,object_class,physical_prefix,raw_description,clean_description,start_value,unit,is_broadcast,limits,axes,source_reference
DrvInfo,DrvInfo_maskHvBattegyAvlSq_C,VALUE,,"Calibratable mask for High Voltage Battery energy available signal quality Start Value : 25 [ −] Caution The tables above with SI=""APPH_LABTAB"" must be edited by calibration parameter editor. Do not edit these tables manually! 5 Extended diagnostic information (XDI)","Calibratable mask for High Voltage Battery energy available signal quality : Caution The tables above with SI=""APPH_LABTAB"" must be edited by calibration parameter editor. Do not edit these tables manually! 5 Extended diagnostic information (XDI)",25.0,dimensionless,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20017"", ""page"": 5, ""parent_module"": ""apph_form""}"
DrvInfo,DrvInfo_tiEmac01TrqCalc_C,VALUE,ti,Calibration for ﬁltering time constant for E−machine1 torque calculation Start Value : 1 [ s ],Calibration for ﬁltering time constant for E−machine1 torque calculation :,1.0,s,false,"{""lower"": 0.0, ""upper"": null, ""type"": ""implicit_non_negative"", ""rationale"": ""time prefix implies non-negative duration""}",,"{""table_id"": ""Table 20017"", ""page"": 5, ""parent_module"": ""apph_form""}"
DsplCtl,DsplCtl_IntChrgrSts_T,CURVE,i,"−Classiﬁcation: START, Type: CURVE_INDIVIDUAL [−] X: DsplCtl_stChrgMod [−] [7] X 0 1 2 3 4","−Classiﬁcation: START, Type: CURVE_INDIVIDUAL [−]",,,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}","[{""axis"": ""X"", ""signal"": ""DsplCtl_stChrgMod"", ""unit"": ""dimensionless"", ""size"": 7, ""breakpoints"": [0.0, 1.0, 2.0, 3.0, 4.0]}]","{""table_id"": ""Table 20028"", ""page"": 16, ""parent_module"": ""Standard""}"
DsplCtl,DsplCtl_facChrgTi_C,VALUE,fac,Calibration factor for correction of charging remainig time Start Value: 1 [−],Calibration factor for correction of charging remainig time :,1.0,dimensionless,false,"{""lower"": 0.0, ""upper"": 1.0, ""type"": ""implicit_factor"", ""rationale"": ""fac with dimensionless unit is normalized""}",,"{""table_id"": ""Table 20028"", ""page"": 16, ""parent_module"": ""Standard""}"
DsplCtl,DsplCtl_nEmActOperThd_C,VALUE,n,Threshold value of E−machine speed to identify it as operating Start Value: 2 [1/min],Threshold value of E−machine speed to identify it as operating :,2.0,1/min,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20028"", ""page"": 16, ""parent_module"": ""Standard""}"
DsplCtl,DsplCtl_ratStrdEgyLvl_T,CURVE,rat,"−Classiﬁcation: START, Type: CURVE_INDIVIDUAL [%] X: HvBatt_ratSoc [%] [6] X 0 20 40 60 80","−Classiﬁcation: START, Type: CURVE_INDIVIDUAL [%]",,,false,"{""lower"": 0.0, ""upper"": 100.0, ""type"": ""implicit_percent_ratio"", ""rationale"": ""Unit/prefix indicates percentage or ratio scale""}","[{""axis"": ""X"", ""signal"": ""HvBatt_ratSoc"", ""unit"": ""%"", ""size"": 6, ""breakpoints"": [0.0, 20.0, 40.0, 60.0, 80.0]}]","{""table_id"": ""Table 20028"", ""page"": 16, ""parent_module"": ""Standard""}"
DsplCtl,DsplCtl_stHybSysIniIndcr_T,CURVE,st,"−Classiﬁcation: START, Type: CURVE_INDIVIDUAL [−] X: DsplCtl_stVehCoorn [−] [6] X 0 1 2 VAL 0","−Classiﬁcation: START, Type: CURVE_INDIVIDUAL [−] VAL 0",,,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}","[{""axis"": ""X"", ""signal"": ""DsplCtl_stVehCoorn"", ""unit"": ""dimensionless"", ""size"": 6, ""breakpoints"": [0.0, 1.0, 2.0]}]","{""table_id"": ""Table 20028"", ""page"": 16, ""parent_module"": ""Standard""}"
DsplCtl,DsplCtl_stHybSysOffBrdChrgrCnctn_T,CURVE,st,Calibratable curve to calculate status of hybrid system off−board charger connection,Calibratable curve to calculate status of hybrid system off−board charger connection,,,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20028"", ""page"": 16, ""parent_module"": ""Standard""}"
DsplCtl,DsplCtl_tMotGenr_T,CURVE,,""", p.17458 below[Deg C] X: Com_ratThermIndcrMCU[%] [6]",""", p.17458 below[Deg C]","[20033.0, 0.17458, 6.0]",,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}","[{""axis"": ""X"", ""signal"": ""Com_ratThermIndcrMCU"", ""unit"": ""%"", ""size"": 6, ""breakpoints"": null}]","{""table_id"": ""Table 20028"", ""page"": 16, ""parent_module"": ""Standard""}"
DsplCtl,DsplCtl_tiHvBattActFil_C,VALUE,ti,Filter time constant for HV battery actual power Start Value: 0.5 [s],Filter time constant for HV battery actual power :,0.5,s,false,"{""lower"": 0.0, ""upper"": null, ""type"": ""implicit_non_negative"", ""rationale"": ""time prefix implies non-negative duration""}",,"{""table_id"": ""Table 20028"", ""page"": 16, ""parent_module"": ""Standard""}"
DsplCtl,DsplCtl_tiRmnChrgMaxLim_C,VALUE,ti,Maximum remaining charging time possible Start Value: 1440 [min] Table 20029,Maximum remaining charging time possible : Table 20029,1440.0,min,false,"{""lower"": 0.0, ""upper"": null, ""type"": ""implicit_non_negative"", ""rationale"": ""time prefix implies non-negative duration""}",,"{""table_id"": ""Table 20028"", ""page"": 16, ""parent_module"": ""Standard""}"
ElTS,ElTS_facPwrAcsyConv_C,VALUE,fac,Efﬁciency factor for the all high voltage load power for accumulation of load consumption Start Value : 1 [ −],Efﬁciency factor for the all high voltage load power for accumulation of load consumption :,1.0,dimensionless,false,"{""lower"": 0.0, ""upper"": 1.0, ""type"": ""implicit_factor"", ""rationale"": ""fac with dimensionless unit is normalized""}",,"{""table_id"": ""Table 20088"", ""page"": 57, ""parent_module"": ""Standard""}"
ElTS,ElTS_facPwrEIMConv_C,VALUE,fac,Efﬁciency factor for the electric machine actual power for accumulation of motor consump- tion. Start Value : 1 [ −],Efﬁciency factor for the electric machine actual power for accumulation of motor consump- tion. :,1.0,dimensionless,false,"{""lower"": 0.0, ""upper"": 1.0, ""type"": ""implicit_factor"", ""rationale"": ""fac with dimensionless unit is normalized""}",,"{""table_id"": ""Table 20088"", ""page"": 57, ""parent_module"": ""Standard""}"
ElTS,ElTS_facPwrRcptConv_C,VALUE,fac,"Factor for the conversion of regenerative power to respective energy. Start Value : 1 [ −] ElTS_ratSoc_CUR Look up table for the manipulation of HV battery SOC for display purpose Start Value : see table ©Table 20089 "" ElTS_ratSoc_CUR "", p.17500 below[ % ] X: HvBatt_ratSoc [ % ] [ 2 ]","Factor for the conversion of regenerative power to respective energy. : ElTS_ratSoc_CUR Look up table for the manipulation of HV battery SOC for display purpose : see table ©Table 20089 "" ElTS_ratSoc_CUR "", p.17500 below[ % ] X: HvBatt_ratSoc [ % ] [ 2 ]",1.0,dimensionless,false,"{""lower"": 0.0, ""upper"": 1.0, ""type"": ""implicit_factor"", ""rationale"": ""fac with dimensionless unit is normalized""}",,"{""table_id"": ""Table 20088"", ""page"": 57, ""parent_module"": ""Standard""}"
ElTS,ElTS_maxDrvPowEm01_T,CURVE,,""", p.17500 below[ W ] X: Emac_nAct01 [ 1/min ] [ 5 ] IF ( i(EM02PRSNT_SC) )",""", p.17500 below[ W ] X: Emac_nAct [ 5 ] IF ( i(EM02PRSNT_SC) )",1.0,1/min,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20088"", ""page"": 57, ""parent_module"": ""Standard""}"
ElTS,ElTS_maxDrvPowEm02_T,CURVE,,""", p.17500 below[ W ] X: Emac_nAct02 [ 1/min ] [ 5 ] IF ( i(EM03PRSNT_SC) )",""", p.17500 below[ W ] X: Emac_nAct [ 5 ] IF ( i(EM03PRSNT_SC) )",2.0,1/min,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20088"", ""page"": 57, ""parent_module"": ""Standard""}"
ElTS,ElTS_swtEgyRst_C,VALUE,,Switch to determine the reset behaviour of accumulated energies. Bit0 deactivation of accumulation/manual reset for testing Bit1 reset during T15 off (reset every drive cycle) Bit2 reset during charging (reset every charging cycle) Start Value : 0 [ −] IF ( i(EM01PRSNT_SC) ),Switch to determine the reset behaviour of accumulated energies. Bit0 deactivation of accumulation/manual reset for testing Bit1 reset during T15 off (reset every drive cycle) Bit2 reset during charging (reset every charging cycle) : IF ( i(EM01PRSNT_SC) ),0.0,dimensionless,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20088"", ""page"": 57, ""parent_module"": ""Standard""}"
GlbDa,GlbDa_lDstLim_C,VALUE,,"bigger than the last value stored in EEP, the current value of the whole distance is written into EEP. This measure serves the protection of the value of the whole distance: if saving the value fails at the end of the driving cycle, the","bigger than the last value stored in EEP, the current value of the whole distance is written into EEP. This measure serves the protection of the value of the whole distance: if saving the value fails at the end of the driving cycle, the",,,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20060"", ""page"": 38, ""parent_module"": ""Standard""}"
GlbDa,GlbDa_lTotDstCmbChgECU_C,VALUE,,Default calibation in case AVS read is not succeded for Combation ECU change Info. : [ m ] IF ((i(GLBDA_LSUMMODE_SC) > 1) && (i(GLBDALSUMAVS_SY) > 0) && (i(ECU_GENR_SY) == 6)),Default calibation in case AVS read is not succeded for Combation ECU change Info. : [ m ] IF ((i(GLBDA_LSUMMODE_SC) > 1) && (i(GLBDALSUMAVS_SY) > 0) && (i(ECU_GENR_SY) == 6)),,,false,"{""lower"": 1.0, ""upper"": null, ""type"": ""explicit_greater_than"", ""rationale"": ""Found lower-bound phrase with 1.0""}",,"{""table_id"": ""Table 20060"", ""page"": 38, ""parent_module"": ""Standard""}"
GlbDa,GlbDa_lTotDstElecEngChgECU_C,VALUE,,Default calibation in case AVS read is not succeded for Elecrtic engine ECU change Info : [ m ],Default calibation in case AVS read is not succeded for Elecrtic engine ECU change Info : [ m ],,,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20060"", ""page"": 38, ""parent_module"": ""Standard""}"
GlbDa,GlbDa_lTotDstVehChgECU_C,VALUE,,"Default calibation,in case AVS read is not succeded for ECU change Info. : [ m ] IF ((i(GLBDA_LSUMMODE_SC) > 0) && (i(GLBDALSUMAVS_SY) > 0) && (i(ECU_GENR_SY) == 6))","Default calibation,in case AVS read is not succeded for ECU change Info. : [ m ] IF ((i(GLBDA_LSUMMODE_SC) > 0) && (i(GLBDALSUMAVS_SY) > 0) && (i(ECU_GENR_SY) == 6))",,,false,"{""lower"": 0.0, ""upper"": null, ""type"": ""explicit_greater_than"", ""rationale"": ""Found lower-bound phrase with 0.0""}",,"{""table_id"": ""Table 20060"", ""page"": 38, ""parent_module"": ""Standard""}"
GlbDa,GlbDa_maskVehVVldySq_C,VALUE,,"Calibration mask to determine the vehicle speed signal validity Start Value : 4 [ ] Caution The tables above with SI=""APPH_LABTAB"" must be edited by calibration parameter editor. Do not edit these tables manually!","Calibration mask to determine the vehicle speed signal validity : Caution The tables above with SI=""APPH_LABTAB"" must be edited by calibration parameter editor. Do not edit these tables manually!",4.0,dimensionless,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20060"", ""page"": 38, ""parent_module"": ""Standard""}"
GlbDa,GlbDa_numVarcodeTLC_C,VALUE,num,0 4 Extended diagnostic information (XDI),0 4 Extended diagnostic information (XDI),,,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20079"", ""page"": 46, ""parent_module"": ""Standard""}"
VehCoorn,VehCoorn_dstCnsPrpDrvMod_C,VALUE,,Distance for calculation of driving mode dependent average energy consumption. Hint value must be greater than 0 Start Value: 50000 [m],Distance for calculation of driving mode dependent average energy consumption. Hint value must be greater than 0 :,50000.0,m,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20140"", ""page"": 124, ""parent_module"": ""Standard""}"
VehCoorn,VehCoorn_dstCnsPrpLong_C,VALUE,,Distance for calculation of long−term average consumption for propulsion. Hint value must be greater than 0 Start Value: 50000 [m],Distance for calculation of long−term average consumption for propulsion. Hint value must be greater than 0 :,50000.0,m,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20140"", ""page"": 124, ""parent_module"": ""Standard""}"
VehCoorn,VehCoorn_dstRateLimnMin_C,VALUE,,minimum change rate for signal shaping of predicted range Start Value : 10 [ m ],minimum change rate for signal shaping of predicted range :,10.0,m,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20150"", ""page"": 155, ""parent_module"": null}"
VehCoorn,VehCoorn_dstRngPrdcDispDft_C,VALUE,,Default value for predictive range (display) in case of error during range calculation. Start Value : 2147483647 [ m ] VehCoorn_maskHvBattEgyAvlDispVldy− Sq_C Calibration mask to detect signal valdity of Hv battery enery avilable for display Standard Value : 4 [ −] VehCoorn_maskHvBattRatSocDispVldy−,for predictive range (display) in case of error during range calculation. : VehCoorn_maskHvBattEgyAvlDispVldy− Sq_C Calibration mask to detect signal valdity of Hv battery enery avilable for display : VehCoorn_maskHvBattRatSocDispVldy−,4.0,dimensionless,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20168"", ""page"": 174, ""parent_module"": ""Standard""}"
VehCoorn,VehCoorn_dstRngPrdcDispHi_M,MAP,,""", p.17616 below[ m ] X:[ deg C ] [ 4 ] Y: HvBatt_egyAvl_f [ Ws ] [ 4 ]",""", p.17616 below[ m ] X:[ deg C ] [ 4 ] Y: HvBatt_egyAvl_f [ Ws ] [ 4 ]","[20169.0, 0.17616, 4.0, 4.0]",,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20168"", ""page"": 174, ""parent_module"": ""Standard""}"
VehCoorn,VehCoorn_dstRngPredErr_C,VALUE,,remaining driving range (default value) is show if input signals are invalid for calibratable ti- me parameter must be greater than,remaining driving range ( ) is show if input signals are invalid for calibratable ti- me parameter must be greater than,,,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20150"", ""page"": 155, ""parent_module"": null}"
VehCoorn,VehCoorn_dstRngPredIni_C,VALUE,,remaining driving range (initial value) is show if the vehicle is in standby or shutdown parameter must be greater than,remaining driving range ( ) is show if the vehicle is in standby or shutdown parameter must be greater than,,,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20150"", ""page"": 155, ""parent_module"": null}"
VehCoorn,VehCoorn_dstRngPredMax_C,VALUE,,to avoid initialization with raw value in Ini_Proc Start Value : 2147483647 [ m ],to avoid initialization with raw value in Ini_Proc :,2147483647.0,m,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20150"", ""page"": 155, ""parent_module"": null}"
VehCoorn,VehCoorn_dstRngPredResv_C,VALUE,,distance reserve for remaining distance Start Value : 0 [ m ],distance reserve for remaining distance :,0.0,m,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20150"", ""page"": 155, ""parent_module"": null}"
VehCoorn,VehCoorn_dstRngRmnDft_C,VALUE,,remaining driving range after route destination (default value) is shown if the route informa- tion or remaining distance is invalid Start Value : 2147483647 [ m ] IF ( i(VEHCOORN_RNGPREDROUTEPROFENA_SC) ==1),remaining driving range after route destination ( ) is shown if the route informa- tion or remaining distance is invalid : IF ( i(VEHCOORN_RNGPREDROUTEPROFENA_SC) ==1),2147483647.0,m,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20150"", ""page"": 155, ""parent_module"": null}"
VehCoorn,VehCoorn_egyTraElecCnsAuxMax_C,VALUE,,The maximum energy that can be consumed in the remaining initial and transient phase of the HVB conditioning. No Speciﬁcation: [Ws],The maximum energy that can be consumed in the remaining initial and transient phase of the HVB conditioning. No Speciﬁcation: [Ws],,,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20120"", ""page"": 93, ""parent_module"": ""Standard""}"
VehCoorn,VehCoorn_facEgyEffMax_C,VALUE,fac,maximum value for energy efﬁciency factor Standard Value : 1.0 [ −],maximum value for energy efﬁciency factor :,1.0,dimensionless,false,"{""lower"": 0.0, ""upper"": 1.0, ""type"": ""implicit_factor"", ""rationale"": ""fac with dimensionless unit is normalized""}",,"{""table_id"": ""Table 20150"", ""page"": 155, ""parent_module"": null}"
VehCoorn,VehCoorn_facEgyEffMin_C,VALUE,fac,minimum value for energy efﬁciency factor Start Value : 0.8 [ −] IF (( i(ELSS_HVENA_SC) ==1 && i(EVTYP_SY) ==0)) || (( i(ELSS_HVENA_SC) ==1)),minimum value for energy efﬁciency factor : IF (( i(ELSS_HVENA_SC) ==1 && i(EVTYP_SY) ==0)) || (( i(ELSS_HVENA_SC) ==1)),0.8,dimensionless,false,"{""lower"": 0.0, ""upper"": 1.0, ""type"": ""implicit_factor"", ""rationale"": ""fac with dimensionless unit is normalized""}",,"{""table_id"": ""Table 20150"", ""page"": 155, ""parent_module"": null}"
