label_name,context,start_value,unit,lower_limit,upper_limit,value_range_phys_raw
Eem_pwrBascUnitLoadAux_C,The value shall be the lowest power consumption of total auxilliary load ever measured while charging.,0.0,W,134217000.0,134217700.0,1.34217e8 ... 1.342177e8 [W]
Eem_tiToutCtctrCls_C,time out druing closing of main contactors,5.0,s,327.68,327.67,327.68 ... 327.67 [s]
Eem_nrFixdPrio_C,"The load priority can be splitted into two sections, one with ﬁxed priority which cannot be changed during runtime and one with variable priority. Parameter deﬁnes the number of loads with ﬁxed priority. Fixed priority range always starts with static priority 1 (highest sta- tic priority) and ends with value of parameter. A ﬁxed priority can never be overwritten by an dynamic priority. Thus, a ﬁxed priority is always higher than a variable one. Example for value 2: Loads sorted by static priority: [5 2 | 1 4 3] load 5 will always have priority 1, load 2 priority 2. Priority 3 and higher can be assigned to loads 1, 4 and 3 and vary due to dynamic priority.",0.0,dimensionless,,,
Eem_valLoadPrioMpg_M,"X axis stands for the vehicle coordinator state, Y axis for the static priority. The values stand for the load number (numbering according to assignment in FC Eem_EgyMngtAdpr).",,,,,
Eem_EgyMngtLoad3_I.facPwrMinDmd_C,Factor to determine minimum power demand of load based on demanded power. Value on- ly relevant when factor based minimum power demand is enabled (related .ﬂgPwrMinDmd- Seln_C).,0.0,dimensionless,8.0,7.99975585,8.0 ... 7.99975585 [−]
Eem_EgyMngtLoad3_I.facPwrUtilnDern_M,"Factor for power derating of load in dependency of utilization of electrical system and load. Values between 0 and 1, where 1 means 0% and 0 means 100% derating. For certain loads, matching of desired operation point and actual operation point can be determined based on the power demand (e.g. when cabin temperature is close to setpoint, air conditioner will request less power than when far from setpoint). So, derating of the climate compressor power might be possible without knowledge of driver.",1.0,dimensionless,8.0,7.99975585,8.0 ... 7.99975585 [−]
Eem_EgyMngtLoad3_I.facSocDern_T,Factor for power derating of load in dependency of battery SOC. Value should be between 0 and 1. Derating is done based on maximum power consumption of load (as conﬁgured in pwrLoadMax_C).,0.0,dimensionless,8.0,7.99975585,8.0 ... 7.99975585 [−]
Eem_EgyMngtLoad3_I.pwrLoadMax_C,"Maximum power consumption of load. Value used to determine the load speciﬁc power uti- lization amd, if enabled, the minimum power demand.",5000.0,W,134217000.0,134217700.0,1.34217e8 ... 1.342177e8 [W]
Eem_EgyMngtLoad3_I.pwrMinDmd_C,Minium power demand (minimum between demand and parameter) which should be assi- gned to the load. Value only relevant when selected via ﬂgPwrMinDmdSeln_C.,0.0,W,8.0,7.99975585,8.0 ... 7.99975585 [−]
Eem_EgyMngtLoad3_I.tiPwrDmdDT1_C,Time constant for differentiator to determine change rate of power request.,1.0,1/s,500000.0,499999.9,500000.0 ... 4.999999e5 [1/s]
Eem_EgyMngtLoad3_I.valDynPrioMod_T,"Only positive values allowed. Value gives the offset to the actual static priority of the load (e.g. static priority is 5 and dynamic priority is 2 leads to a ﬁnal priority of 3). Sum of dyna- mic priorities per load must not exceed 128 −number of loads. The higher the dynamic priority, the higher the potential increase of priority.",0.0,dimensionless,0.0,255.0,0.0 ... 255.0 [−]
Eem_facThermSysCmftDern_T,Table deﬁnes derating factor for comfort functions of thermal system. in dependency of the battery discharge limit. Must not be set to values > 1. (since this would mean increase of the power demand). Please note that the discharge limit of the battery has negative values.,5.0,,256.0,255.9921,256.0 ... 2.559921e2 [−]
Eem_pwrNotMngtCnsrCns_C,"Power consumption of not managed consumers connected to the electrical system. Set va- lue to worst case consumption to ensure, that battery power limits are not violated.",0.0,W,134217000.0,134217700.0,1.34217e8 ... 1.342177e8 [W]
Eem_pwrResvEgyMngt_C,"When system is operating at 100% of the available power, it might lead to violating the bat- tery limits in case that a component connected to the electrical system consumes more power than expected (e.g. 1010W instead of 1000W). Parameter gives the possibility to ap- ply a power buffer to ensure, that system is not operated at 100% of available power.",1000.0,W,134217000.0,134217700.0,1.34217e8 ... 1.342177e8 [W]
Eem_maskHvBattPwrLimSq_C,Calibration mask to determine the HV battery Continuous Maximum Discharging Power vali- dity,36.0,dimensionless,0.0,65535.0,0.0 ... 65535.0
Eem_maskHvBattSocSq_C,Calibration mask to determine the HV battery SOC validity,36.0,dimensionless,0.0,65535.0,0.0 ... 65535.0
Eem_facThermCmftReplcmt_C,Replacement factor for derating of thermal comfort functions,1.0,dimensionless,256.0,255.9922,256.0 ... 255.9922 [−]
Eem_pwrHvBattLimReplcmt_C,Replacement value for HV Battery discharge power,0.0,W,134217000.0,134217700.0,1.34217e8 ... 1.342177e8 [W]
Eem_ratHvBattSocReplcmt_C,Replacement value for HV Battery SOC,0.0,%,400.0,399.9878,400.0 ... 399.9878 [%]
Eem_tiProlongLvRech_C,Time needed by LV battery sensor to provide valid signals via LIN after start up of VCU,0.5,s,327.68,327.67,327.68 ... 327.67 [s]
Eem_pwrHvBattThdDcdc_C,The DCDC converter should not detrain the HV battery if energy level of HV battery is already low.,3000.0,W,134217000.0,134217700.0,1.34217e8 ... 1.342177e8 [W]
Eem_maskpwrMaxDchaContnsSq_C,Calibration mask for the HvBatt_pwrMaxLimDchaContns_Sq.,36.0,dimensionless,0.0,65535.0,0.0 ... 65535.0
Eem_flgFatalExWait_C,Set to false if a fatal fault of a component should trigger a fast shutdown. This can lead to opening of the HV battery main contactors under load.,0.0,dimensionless,0.0,1.0,0.0 ... 1.0
Eem_stCmpnOffRdy_T,"This table sets the HV components status for HV off. The input value is in the range [EEM_- IGNORE, EEM_STARTUP, EEM_RDYPRECHARGE, EEM_RDYHV, EEM_ACTV, EEM_RDYOFF, E- EM_FATALFLT]. The table provides the possibility to ignore values above the expected values by setting the last entry to 1.",8.0,,0.0,255.0,0.0 ... 255.0
Eem_stCmpnPrecCmpl_T,"This table sets the HV components status for HV ready. The input value is in the range [E- EM_IGNORE, EEM_STARTUP, EEM_RDYPRECHARGE, EEM_RDYHV, EEM_ACTV, EEM_RDYOF- F, EEM_FATALFLT]. The table provides the possibility to ignore values above the expected values by setting the last entry to 1.",8.0,,0.0,255.0,0.0 ... 255.0
Eem_stCmpnPrecRdy_T,"This table sets the HV components status for precharge. The input value is in the range [E- EM_IGNORE, EEM_STARTUP, EEM_RDYPRECHARGE, EEM_RDYHV, EEM_ACTV, EEM_RDYOF- F, EEM_FATALFLT]. The table provides the possibility to ignore values above the expected values by setting the last entry to 1.",8.0,,0.0,255.0,0.0 ... 255.0
Eem_flgRstrtDurgShtDwnAllwd_C,Allow change of mind during shutdown sequence of HV grid. Set to false if the system can- not process a close command for the HV battery during the opening of the main switch or if an active discharge cannot be interrupted.,0.0,dimensionless,0.0,1.0,0.0 ... 1.0
Eem_maskDcdcUHiUActSq_C,,,,0.0,65535.0,0.0 ... 65535.0
Eem_maskEmacUDcLnkIvtr01Sq_C,calibration mask to determine the Electrical machine DC link01 voltage validity,4.0,dimensionless,0.0,65535.0,0.0 ... 65535.0
Eem_uDcdcHvLoLimSafe_C,After opening the high voltage battery contactors the capacities in the high voltage grid a- re still loaded. The high voltage discharge has to be active till the voltage level is below the safety limit of 60.0 V. The calibration deﬁnes the end of the high voltage discharge cycle.,20.0,V,,,
Eem_uLoDcdcHvLim_C,Minimum voltage threshold for DCDC for allowing switching on of HV.,200.0,V,,,
